session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2010-11-24,201103,SHORT,2010-11-24 03:00:00+00:00,2010-11-24 05:00:00+00:00,2010-11-24 07:00:00+00:00,0.025,27.645,27.65,-0.005,-5.0,-36.2,980.0,324.8
2010-11-25,201103,LONG,2010-11-24 23:00:00+00:00,2010-11-25 01:00:00+00:00,2010-11-25 03:00:00+00:00,-0.135,27.515,27.54,0.025,25.0,-6.2,1005.0,318.6
2010-11-25,201103,LONG,2010-11-25 03:00:00+00:00,2010-11-25 05:00:00+00:00,2010-11-25 07:00:00+00:00,-0.06,27.48,27.5,0.02,20.0,-11.2,1025.0,307.4
2010-11-26,201103,LONG,2010-11-25 23:00:00+00:00,2010-11-26 01:00:00+00:00,2010-11-26 03:00:00+00:00,-0.045,27.53,27.525,-0.005,-5.0,-36.2,1020.0,271.2
2010-11-26,201103,LONG,2010-11-26 03:00:00+00:00,2010-11-26 05:00:00+00:00,2010-11-26 07:00:00+00:00,-0.09,27.435,27.21,-0.225,-225.0,-256.2,795.0,15.0
2010-11-29,201103,LONG,2010-11-28 23:00:00+00:00,2010-11-29 01:00:00+00:00,2010-11-29 03:00:00+00:00,-0.185,26.54,26.88,0.34,340.0,308.8,1135.0,323.8
2010-11-29,201103,LONG,2010-11-29 03:00:00+00:00,2010-11-29 05:00:00+00:00,2010-11-29 07:00:00+00:00,-0.21,26.67,27.085,0.415,415.0,383.8,1550.0,707.6
2010-11-30,201103,SHORT,2010-11-29 23:00:00+00:00,2010-11-30 01:00:00+00:00,2010-11-30 03:00:00+00:00,0.125,27.285,27.17,0.115,115.0,83.8,1665.0,791.4
2010-11-30,201103,LONG,2010-11-30 03:00:00+00:00,2010-11-30 05:00:00+00:00,2010-11-30 07:00:00+00:00,-0.125,27.045,27.24,0.195,195.0,163.8,1860.0,955.2
2010-12-01,201103,SHORT,2010-11-30 23:00:00+00:00,2010-12-01 01:00:00+00:00,2010-12-01 03:00:00+00:00,0.04,28.16,28.105,0.055,55.0,23.8,1915.0,979.0
2010-12-01,201103,SHORT,2010-12-01 03:00:00+00:00,2010-12-01 05:00:00+00:00,2010-12-01 07:00:00+00:00,0.265,28.37,28.45,-0.08,-80.0,-111.2,1835.0,867.8
2010-12-02,201103,SHORT,2010-12-01 23:00:00+00:00,2010-12-02 01:00:00+00:00,2010-12-02 03:00:00+00:00,0.17,28.65,28.595,0.055,55.0,23.8,1890.0,891.6
2010-12-02,201103,SHORT,2010-12-02 03:00:00+00:00,2010-12-02 05:00:00+00:00,2010-12-02 07:00:00+00:00,0.005,28.6,28.655,-0.055,-55.0,-86.2,1835.0,805.4
2010-12-03,201103,SHORT,2010-12-02 23:00:00+00:00,2010-12-03 01:00:00+00:00,2010-12-03 03:00:00+00:00,0.18,28.84,28.8,0.04,40.0,8.8,1875.0,814.2
